DH	INJV	Xt	Mt	XMt	NDH	DY	Fit
-0.23725	2	0	0.0045	0.01562	--	--	-29237.19319
-11.93808	8	7.01951E-5	0.00449	0.07832	-27545.21246	1362.23253	-28907.44499
-12.85444	8	3.49989E-4	0.00447	0.14138	-29836.11227	-1607.73097	-28228.38131
-12.12782	8	6.28203E-4	0.00444	0.20478	-28019.54619	-751.64313	-27267.90306
-11.23063	8	9.04839E-4	0.00442	0.26854	-25776.5644	115.47887	-25892.04327
-10.10172	8	0.00118	0.00439	0.33264	-22954.28978	974.37451	-23928.66428
-9.42282	8	0.00145	0.00437	0.3971	-21257.05173	-31.41723	-21225.6345
-7.81856	8	0.00173	0.00434	0.46191	-17246.39202	560.63236	-17807.02438
-6.7935	8	0.002	0.00432	0.52707	-14683.75699	-646.07408	-14037.68291
-5.12402	8	0.00226	0.0043	0.59258	-10510.04268	1.06277	-10511.10545
-3.96208	8	0.00253	0.00427	0.65844	-7605.19219	56.99754	-7662.18973
-3.319	8	0.0028	0.00425	0.72465	-5997.49472	-422.87428	-5574.62044
-2.72054	8	0.00306	0.00422	0.79121	-4501.35924	-387.94407	-4113.41517
-2.38265	8	0.00332	0.0042	0.85812	-3656.6266	-556.39922	-3100.22738
-1.81935	8	0.00358	0.00418	0.92539	-2248.37383	141.9495	-2390.32333
-1.43325	8	0.00384	0.00415	0.993	-1283.13357	600.1347	-1883.26827
-1.282	8	0.0041	0.00413	1.06097	-905.00719	608.03931	-1513.0465
-1.12649	8	0.00436	0.00411	1.12929	-516.21851	720.5327	-1236.75121
-1.02346	8	0.00461	0.00408	1.19795	-258.65884	767.61415	-1026.27299
-0.89437	8	0.00486	0.00406	1.26697	64.08199	926.97654	-862.89455
-0.91621	8	0.00512	0.00404	1.33634	9.48372	743.39161	-733.90789
	--	0.00537	0.00402	--			
